Construct-candidate nodes: 144

ID                        TAGS                                               NAME
-------------------------------------------------------------------------------------------------------------------
7701                      ['container_bare']                                 USCDefinitions
7701(a)                   ['container_intro']                                Sec7701_a
7701(a)(11)               ['container_bare']                                 SecretaryTreasurySecretary
7701(a)(12)               ['container_bare', 'scope_rule']                   Delegate
7701(a)(12)(A)            ['container_intro']                                HisDelegate
7701(a)(19)               ['container_intro']                                DomesticBuildingLoanAssociation
7701(a)(19)(C)            ['container_intro']                                Sec7701_a_19_C
7701(a)(30)               ['container_intro']                                UnitedStatesPerson
7701(a)(30)(E)            ['container_intro']                                Sec7701_a_30_E
7701(a)(31)               ['container_bare']                                 ForeignEstateTrust
7701(a)(32)               ['container_intro']                                CooperativeBank
7701(a)(33)               ['container_intro']                                RegulatedPublicUtility
7701(a)(33)(A)            ['container_intro']                                Sec7701_a_33_A
7701(a)(36)               ['container_bare', 'scope_rule']                   TaxReturnPreparer
7701(a)(36)(B)            ['container_intro']                                Sec7701_a_36_B
7701(a)(37)               ['container_intro']                                IndividualRetirementPlan
7701(a)(39)               ['container_intro', 'scope_def']                   PersonsResidingOutsideUnitedStates
7701(a)(40)               ['container_bare', 'scope_rule']                   IndianTribalGovernment
7701(a)(42)               ['container_intro']                                SubstitutedBasisProperty
7701(a)(48)               ['container_bare']                                 OffHighwayVehicles
7701(a)(48)(A)            ['container_bare', 'scope_rule']                   OffHighwayTransportationVehicles
7701(a)(49)               ['container_intro']                                QualifiedBloodCollectorOrganization
7701(a)(50)               ['container_bare', 'scope_rule']                   TerminationUnitedStatesCitizenship
7701(a)(51)               ['container_bare', 'scope_rule']                   ProhibitedForeignEntity
7701(a)(51)(A)            ['container_bare']                                 Sec7701_a_51_A
7701(a)(51)(A)(ii)        ['container_bare', 'scope_rule']                   Determination
7701(a)(51)(B)            ['container_intro', 'scope_def']                   SpecifiedForeignEntity
7701(a)(51)(C)            ['container_intro', 'scope_def']                   ForeignControlledEntity
7701(a)(51)(D)            ['container_bare', 'scope_rule']                   ForeignInfluencedEntity
7701(a)(51)(D)(i)         ['container_intro', 'scope_def']                   Sec7701_a_51_D_i
7701(a)(51)(D)(i)(I)      ['container_intro']                                Sec7701_a_51_D_i_I
7701(a)(51)(D)(i)(II)     ['container_intro']                                Sec7701_a_51_D_i_II
7701(a)(51)(D)(i)(II)(bb) ['container_intro']                                Sec7701_a_51_D_i_II_bb
7701(a)(51)(D)(ii)        ['container_bare', 'scope_rule']                   EffectiveControl
7701(a)(51)(D)(ii)(I)     ['container_bare', 'scope_rule']                   Sec7701_a_51_D_ii_I
7701(a)(51)(D)(ii)(II)    ['container_intro', 'scope_def']                   Sec7701_a_51_D_ii_II
7701(a)(51)(D)(ii)(III)   ['container_bare', 'scope_rule']                   LicensingOtherAgreements
7701(a)(51)(D)(ii)(III)(aa) ['container_intro', 'scope_def']                   Sec7701_a_51_D_ii_III_aa
7701(a)(51)(D)(ii)(III)(bb) ['container_bare', 'scope_rule']                   Sec7701_a_51_D_ii_III_bb
7701(a)(51)(E)            ['container_bare', 'scope_rule']                   PubliclyTradedEntities
7701(a)(51)(E)(i)         ['container_bare']                                 Sec7701_a_51_E_i
7701(a)(51)(E)(i)(I)      ['container_intro']                                NonapplicationCertainForeignControlledEntityRules
7701(a)(51)(E)(i)(II)     ['container_intro']                                NonapplicationCertainForeignInfluencedEntityRules
7701(a)(51)(E)(i)(III)    ['container_intro']                                ExclusionExchangesMarketsCoveredNations
7701(a)(51)(E)(ii)        ['container_intro']                                AdditionalForeignControlledEntityRequirementsPubliclyTradedCompanies
7701(a)(51)(E)(iii)       ['container_intro']                                AdditionalForeignInfluencedEntityRequirementsPubliclyTradedCompanies
7701(a)(51)(E)(iii)(I)    ['container_intro']                                Sec7701_a_51_E_iii_I
7701(a)(51)(F)            ['container_intro', 'scope_def']                   CoveredOfficer
7701(a)(51)(G)            ['container_intro', 'scope_def']                   Control
7701(a)(51)(I)            ['container_intro', 'scope_def']                   OtherDefinitions
7701(a)(51)(I)(v)         ['container_intro']                                QualifiedFacility
7701(a)(52)               ['container_bare', 'scope_rule']                   MaterialAssistanceFromProhibitedForeignEntity
7701(a)(52)(A)            ['container_intro']                                Sec7701_a_52_A
7701(a)(52)(B)            ['container_intro', 'scope_def']                   ThresholdPercentageQualifiedFacilitiesEnergyStorageTechnology
7701(a)(52)(B)(i)         ['container_intro']                                Sec7701_a_52_B_i
7701(a)(52)(B)(ii)        ['container_intro']                                Sec7701_a_52_B_ii
7701(a)(52)(C)            ['container_bare', 'scope_rule']                   ThresholdPercentageEligibleComponents
7701(a)(52)(C)(i)         ['container_intro', 'scope_def']                   Sec7701_a_52_C_i
7701(a)(52)(C)(i)(I)      ['container_intro']                                Sec7701_a_52_C_i_I
7701(a)(52)(C)(i)(II)     ['container_intro']                                Sec7701_a_52_C_i_II
7701(a)(52)(C)(i)(III)    ['container_intro']                                Sec7701_a_52_C_i_III
7701(a)(52)(C)(i)(IV)     ['container_intro']                                Sec7701_a_52_C_i_IV
7701(a)(52)(C)(i)(V)      ['container_intro']                                Sec7701_a_52_C_i_V
7701(a)(52)(C)(ii)        ['container_intro']                                AdjustedThresholdPercentageApplicableCriticalMinerals
7701(a)(52)(C)(ii)(II)    ['container_intro']                                ApplicableCriticalMineral
7701(a)(52)(D)            ['container_bare']                                 MaterialAssistanceCostRatio
7701(a)(52)(D)(i)         ['container_intro', 'scope_def']                   Sec7701_a_52_D_i
7701(a)(52)(D)(i)(I)      ['container_intro']                                Sec7701_a_52_D_i_I
7701(a)(52)(D)(i)(I)(bb)  ['container_intro']                                TotalDirectCosts
7701(a)(52)(D)(ii)        ['container_intro', 'scope_def']                   Sec7701_a_52_D_ii
7701(a)(52)(D)(ii)(I)     ['container_intro']                                Sec7701_a_52_D_ii_I
7701(a)(52)(D)(iii)       ['container_bare', 'scope_rule']                   SafeHarborTables
7701(a)(52)(D)(iii)(I)    ['container_intro']                                Sec7701_a_52_D_iii_I
7701(a)(52)(D)(iii)(II)   ['container_intro', 'scope_def']                   SafeHarborsPriorIssuance
7701(a)(52)(D)(iii)(II)(bb) ['container_intro']                                ManufacturedProduct
7701(a)(52)(D)(iii)(III)  ['container_intro']                                Sec7701_a_52_D_iii_III
