Construct-candidate nodes: 144

ID                        TAGS                                               NAME
-------------------------------------------------------------------------------------------------------------------
7701                      ['container_bare']                                 26U.s.c.§7701—Definitions
7701(a)                   ['container_intro']                                Title
7701(a)(11)               ['container_bare']                                 Treasury
7701(a)(12)               ['container_bare', 'scope_rule']                   Delegate
7701(a)(12)(A)            ['container_intro']                                Term
7701(a)(19)               ['container_intro']                                Term
7701(a)(19)(C)            ['container_intro']                                Least60Percent
7701(a)(30)               ['container_intro']                                Term
7701(a)(30)(E)            ['container_intro']                                Trust
7701(a)(31)               ['container_bare']                                 ForeignEstate
7701(a)(32)               ['container_intro']                                Term"cooperativeBank
7701(a)(33)               ['container_intro']                                Term
7701(a)(33)(A)            ['container_intro']                                Corporation
7701(a)(36)               ['container_bare', 'scope_rule']                   TaxReturnPreparer
7701(a)(36)(B)            ['container_intro']                                Person
7701(a)(37)               ['container_intro']                                Term
7701(a)(39)               ['container_intro', 'scope_def']                   Citizen
7701(a)(40)               ['container_bare', 'scope_rule']                   IndianTribalGovernment
7701(a)(42)               ['container_intro']                                Term
7701(a)(48)               ['container_bare']                                 Off-highwayVehicles
7701(a)(48)(A)            ['container_bare', 'scope_rule']                   Off-highwayTransportationVehicles
7701(a)(49)               ['container_intro']                                Term
7701(a)(50)               ['container_bare', 'scope_rule']                   Termination
7701(a)(51)               ['container_bare', 'scope_rule']                   ProhibitedForeignEntity
7701(a)(51)(A)            ['container_bare']                                 Sec7701A51A
7701(a)(51)(A)(ii)        ['container_bare', 'scope_rule']                   Determination
7701(a)(51)(B)            ['container_intro', 'scope_def']                   Purposes
7701(a)(51)(C)            ['container_intro', 'scope_def']                   Purposes
7701(a)(51)(D)            ['container_bare', 'scope_rule']                   Foreign-influencedEntity
7701(a)(51)(D)(i)         ['container_intro', 'scope_def']                   Purposes
7701(a)(51)(D)(i)(I)      ['container_intro']                                Respect
7701(a)(51)(D)(i)(II)     ['container_intro']                                Which
7701(a)(51)(D)(i)(II)(bb) ['container_intro']                                Respect
7701(a)(51)(D)(ii)        ['container_bare', 'scope_rule']                   EffectiveControl
7701(a)(51)(D)(ii)(I)     ['container_bare', 'scope_rule']                   Sec7701A51DIiI
7701(a)(51)(D)(ii)(II)    ['container_intro', 'scope_def']                   Period
7701(a)(51)(D)(ii)(III)   ['container_bare', 'scope_rule']                   Licensing
7701(a)(51)(D)(ii)(III)(aa) ['container_intro', 'scope_def']                   Addition
7701(a)(51)(D)(ii)(III)(bb) ['container_bare', 'scope_rule']                   Exception
7701(a)(51)(E)            ['container_bare', 'scope_rule']                   PubliclyTradedEntities
7701(a)(51)(E)(i)         ['container_bare']                                 Sec7701A51EI
7701(a)(51)(E)(i)(I)      ['container_intro']                                Subparagraph
7701(a)(51)(E)(i)(II)     ['container_intro']                                Subparagraph
7701(a)(51)(E)(i)(III)    ['container_intro']                                Subclause
7701(a)(51)(E)(ii)        ['container_intro']                                Case
7701(a)(51)(E)(iii)       ['container_intro']                                Case
7701(a)(51)(E)(iii)(I)    ['container_intro']                                TaxableYear
7701(a)(51)(F)            ['container_intro', 'scope_def']                   Purposes
7701(a)(51)(G)            ['container_intro', 'scope_def']                   Purposes
7701(a)(51)(I)            ['container_intro', 'scope_def']                   Purposes
7701(a)(51)(I)(v)         ['container_intro']                                Term
7701(a)(52)               ['container_bare', 'scope_rule']                   MaterialAssistance
7701(a)(52)(A)            ['container_intro']                                Term
7701(a)(52)(B)            ['container_intro', 'scope_def']                   Purposes
7701(a)(52)(B)(i)         ['container_intro']                                Case
7701(a)(52)(B)(ii)        ['container_intro']                                Case
7701(a)(52)(C)            ['container_bare', 'scope_rule']                   ThresholdPercentage
7701(a)(52)(C)(i)         ['container_intro', 'scope_def']                   Purposes
7701(a)(52)(C)(i)(I)      ['container_intro']                                Case
7701(a)(52)(C)(i)(II)     ['container_intro']                                Case
7701(a)(52)(C)(i)(III)    ['container_intro']                                Case
7701(a)(52)(C)(i)(IV)     ['container_intro']                                Case
7701(a)(52)(C)(i)(V)      ['container_intro']                                Clause
7701(a)(52)(C)(ii)        ['container_intro']                                December
7701(a)(52)(C)(ii)(II)    ['container_intro']                                ThresholdPercentage
7701(a)(52)(D)            ['container_bare']                                 MaterialAssistanceCostRatio
7701(a)(52)(D)(i)         ['container_intro', 'scope_def']                   Purposes
7701(a)(52)(D)(i)(I)      ['container_intro']                                Amount
7701(a)(52)(D)(i)(I)(bb)  ['container_intro']                                TotalDirectCosts
7701(a)(52)(D)(ii)        ['container_intro', 'scope_def']                   Purposes
7701(a)(52)(D)(ii)(I)     ['container_intro']                                Amount
7701(a)(52)(D)(iii)       ['container_bare', 'scope_rule']                   SafeHarborTables
7701(a)(52)(D)(iii)(I)    ['container_intro']                                December
7701(a)(52)(D)(iii)(II)   ['container_intro', 'scope_def']                   Purposes
7701(a)(52)(D)(iii)(II)(bb) ['container_intro']                                Certification
7701(a)(52)(D)(iii)(III)  ['container_intro']                                Subclauses
7701(a)(52)(D)(iii)(IV)   ['container_intro']                                Manner
7701(a)(52)(D)(iii)(IV)(aa) ['container_intro']                                Sec7701A52DIiiIvAa
7701(a)(52)(D)(iii)(IV)(dd) ['container_intro']                                Supplier
7701(a)(52)(D)(iv)        ['container_intro']                                Election
7701(a)(52)(D)(iv)(II)    ['container_bare']                                 Sec7701A52DIvIi
7701(a)(52)(D)(v)         ['container_intro']                                Secretary
7701(a)(52)(E)            ['container_intro', 'scope_def']                   Purposes
7701(a)(52)(E)(i)         ['container_intro']                                Term
7701(a)(52)(E)(iii)       ['container_intro']                                Term
7701(a)(52)(E)(iv)        ['container_intro']                                Term
7701(a)(52)(G)            ['container_intro']                                Secretary
7701(b)                   ['container_bare', 'scope_rule']                   Definition
7701(b)(1)                ['container_intro', 'scope_def']                   Purposes
7701(b)(1)(A)             ['container_intro']                                AlienIndividual
7701(b)(2)                ['container_bare']                                 SpecialRules
7701(b)(2)(A)             ['container_bare', 'scope_rule']                   FirstYear
7701(b)(2)(B)             ['container_intro']                                AlienIndividual
7701(b)(2)(C)             ['container_bare', 'scope_rule']                   CertainNominalPresence
7701(b)(3)                ['container_bare', 'scope_rule']                   SubstantialPresenceTest
7701(b)(3)(A)             ['container_intro']                                Paragraph
7701(b)(3)(B)             ['container_intro']                                Individual
7701(b)(3)(C)             ['container_intro']                                Subparagraph
7701(b)(3)(D)             ['container_intro']                                Individual
7701(b)(4)                ['container_bare']                                 First-yearElection
7701(b)(4)(A)             ['container_intro']                                AlienIndividual
7701(b)(4)(A)(iv)         ['container_intro']                                Both
7701(b)(5)                ['container_intro', 'scope_def', 'scope_rule']     Purposes
7701(b)(5)(A)             ['container_intro']                                Individual
7701(b)(5)(A)(iv)         ['container_intro']                                ProfessionalAthlete
7701(b)(5)(B)             ['container_intro']                                Term
7701(b)(5)(C)             ['container_intro']                                Term
7701(b)(5)(D)             ['container_intro']                                Term"student
7701(b)(5)(D)(i)          ['container_intro']                                Who
7701(b)(5)(E)             ['container_bare']                                 SpecialRules
7701(b)(6)                ['container_intro', 'scope_def']                   Purposes
7701(b)(7)                ['container_intro', 'scope_def', 'scope_rule']     Purposes
7701(b)(9)                ['container_bare', 'scope_rule']                   TaxableYear
7701(b)(9)(B)             ['container_intro']                                FiscalYearTaxpayer
7701(b)(10)               ['container_intro']                                Coordination
7701(e)                   ['container_intro', 'scope_def', 'scope_rule']     Purposes
7701(e)(1)                ['container_intro']                                Contract
7701(e)(3)                ['container_bare', 'scope_rule']                   SpecialRules
7701(e)(3)(A)             ['container_intro']                                Notwithstanding
7701(e)(3)(A)(i)          ['container_intro']                                Respect
7701(e)(4)                ['container_bare', 'scope_rule']                   Paragraph
7701(e)(4)(A)             ['container_intro']                                Paragraph
7701(e)(4)(B)             ['container_intro', 'scope_def']                   Purposes
7701(e)(4)(C)             ['container_bare']                                 SpecialRules
7701(e)(5)                ['container_intro']                                Subsection
7701(f)                   ['container_intro']                                Secretary
7701(h)                   ['container_bare', 'scope_rule']                   MotorVehicleOperatingLeases
7701(h)(1)                ['container_intro', 'scope_def']                   Purposes
7701(h)(2)                ['container_intro', 'scope_def', 'scope_rule']     Purposes
7701(h)(2)(B)             ['container_intro']                                Agreement
7701(h)(2)(C)             ['container_intro']                                Agreement
7701(h)(3)                ['container_bare', 'scope_rule']                   TerminalRentalAdjustmentClause
